motor,etapa,master,ejecutores,orden_ejecucion,es_calentamiento,repeticion_util,repeticion,duracion_segundos,tiempo_jdbc_segundos,tiempo_computo_segundos,cpu_segundos,rss_inicial_mb,rss_final_mb,ordenes_fuente,detalles_fuente,usuarios_fuente,filas_resultado_etapa,dataset_max_order_id,python,spark,pandas,modalidad_lectura
pandas,t5,single-process,,5,False,4.0,5,3.516979,2.388705,0.903692,2.58,104.066,186.672,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t5,single-process,,6,False,5.0,6,3.346437,2.244193,0.879475,2.4,104.48,186.953,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pyspark,t1,spark://e4-spark-master:7077,1.0,1,True,,1,19.756725,17.604815,0.657397,0.06,61.789,61.914,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,1.0,2,False,1.0,2,18.412038,16.399089,0.516673,0.05,62.484,62.609,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,1.0,3,False,2.0,3,17.925993,15.856884,0.569999,0.05,62.293,62.418,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,1.0,4,False,3.0,4,17.562483,15.713296,0.489999,0.06,62.527,62.652,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,2.0,1,True,,1,16.073322,13.948218,0.480509,0.06,62.586,62.586,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,2.0,2,False,1.0,2,16.5891,14.596929,0.560477,0.06,62.348,62.473,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,2.0,3,False,2.0,3,16.379924,14.593316,0.461916,0.05,62.406,62.531,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,2.0,4,False,3.0,4,17.429309,15.547737,0.44692,0.06,61.867,62.117,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,4.0,1,True,,1,17.085829,14.870396,0.49528,0.07,62.238,62.363,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,4.0,2,False,1.0,2,17.371977,15.316735,0.494063,0.07,62.305,62.43,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
pyspark,t1,spark://e4-spark-master:7077,4.0,3,False,2.0,3,16.670673,14.697068,0.415354,0.06,62.52,62.77,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_particionado_orden_id_4
