fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,saga,200,3,60.0,90.0,0.1,5.0,200,200,844,626,0.741706,7,7,0,1.0,"{""0"": 76, ""200"": 218, ""503"": 550}",13000,60000,60000,9.501271129150204,0.0,0.0,80.36,84.71,False,,1788542749.941,90.89
timing,saga,400,3,60.0,90.0,0.1,5.0,400,400,1466,1070,0.729877,0,0,0,,"{""0"": 655, ""200"": 397, ""503"": 430}",17000,28000,32000,16.49614168508792,0.0,0.0,96.43,106.29,False,,1788543104.889,90.994
none,2pc,50,4,60.0,90.0,0.0,5.0,50,50,109,25,0.229358,9,9,0,1.0,"{""0"": 25, ""200"": 84}",18000,60000,60000,1.2347079252075517,0.0,0.0,71.7,73.69,False,,1788543341.697,90.849
none,2pc,100,4,60.0,90.0,0.0,5.0,100,100,326,218,0.668712,5,5,0,1.0,"{""0"": 48, ""200"": 108, ""503"": 170}",5100,60000,62000,3.7105460339647625,0.0,0.0,75.04,77.73,False,,1788543562.253,90.923
none,2pc,200,4,60.0,90.0,0.0,5.0,200,200,781,581,0.743918,0,0,0,,"{""0"": 93, ""200"": 200, ""500"": 1, ""503"": 497}",9100,60000,62000,8.795176037261383,2.32,104.2,80.21,84.44,False,,1788543851.829,90.873
none,2pc,400,4,60.0,90.0,0.0,5.0,400,400,1298,908,0.699538,0,0,0,,"{""0"": 650, ""200"": 390, ""503"": 277}",17000,27000,36000,14.623037965415888,0.0,0.0,96.2,105.19,False,,1788544201.017,91.005
omission,2pc,50,4,60.0,90.0,0.1,5.0,50,50,188,112,0.595745,12,12,0,1.0,"{""0"": 35, ""200"": 77, ""500"": 2, ""503"": 75}",3100,62000,62000,2.1260756648637225,0.0,0.0,71.19,73.39,False,,1788544420.596,90.873
omission,2pc,100,4,60.0,90.0,0.1,5.0,100,100,369,269,0.728997,0,0,0,,"{""0"": 75, ""200"": 100, ""503"": 194}",3400,60000,60000,4.185582810762284,0.0,0.0,74.61,77.94,False,,1788544645.81,90.893
omission,2pc,200,4,60.0,90.0,0.1,5.0,200,200,1019,811,0.795878,4,4,0,1.0,"{""0"": 31, ""200"": 208, ""409"": 1, ""503"": 785}",11000,29000,60000,11.470434188622068,0.0,0.0,80.32,84.18,False,,1788544933.57,90.879
omission,2pc,400,4,60.0,90.0,0.1,5.0,400,400,895,514,0.574302,0,0,0,,"{""0"": 290, ""200"": 381, ""503"": 224}",17000,60000,60000,9.977456473327063,0.0,0.0,93.17,102.82,False,,1788545285.637,91.226
